trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-162.67112296035094,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-131.68828727671416,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9992001066609779}",30,0,-189.0043296661972,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-112.84656109218665,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,0,-188.2700610900236,"{0: 13, 1: 6, 2: 9, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,0,-252.14406640876643,"{0: 12, 1: 5, 2: 8, 3: 2, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-48.44637152402744,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-106.04378286552432,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9950041652780257}",30,16,-10.639924451866632,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-125.70158968899827,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-139.70595006001048,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-127.79709353258131,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,0,-60.21354442298571,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-174.9361007890386,"{0: 4, 1: 5, 2: 9, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-219.2948930743475,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 5}",0
16,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,13,-98.75769395163165,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
17,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-215.4143427784309,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
18,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-39.40164207370005,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-117.26858409107155,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,15,-4.833176205233554,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-199.2483252084194,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-46.337746403237375,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,5,-92.15609622217556,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",1
24,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-77.5105506491021,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
