trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-53.86641323957105,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-148.538286468163,"{0: 12, 1: 5, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-28.970662736482282,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-115.93981744216572,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-145.67188193603624,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-128.80491086052422,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,0,-46.33207400746764,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-186.37981684061367,"{0: 11, 1: 3, 2: 6, 3: 4, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9950041652780257}",35,0,-99.0048590242951,"{0: 25, 1: 2, 2: 5, 3: 3, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9939560979566968}",35,0,-171.59446173573414,"{0: 21, 1: 7, 2: 2, 3: 3, 4: 2}",1
11,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-57.07385283532081,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-106.66452957522743,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-87.15930189461848,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-174.89321630046248,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-86.46320461946314,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-75.31615314488734,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-276.51270264418747,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 6}",0
18,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-27.492047434797435,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-121.10558242903457,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-82.45264819636867,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-103.84231793229023,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-96.71503776337218,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-99.42210140721251,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-55.82095261305335,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-185.2653473379283,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-175.86763230491297,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-71.23173149533014,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-108.04623047864594,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-29.319865655133864,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,7,-12.40262013483237,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,0,-85.77792948263223,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
12,True,"{'a': 0, 'e': 0}",20,0,-83.73037664414005,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
13,True,"{'a': 0, 'e': 0}",20,0,-92.62530338767779,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
14,True,"{'a': 0, 'e': 0}",20,0,-97.38738571359868,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
15,True,"{'a': 0, 'e': 0}",20,0,-120.62493623475262,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
16,True,"{'a': 0, 'e': 0}",20,0,-112.90204293870741,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
17,True,"{'a': 0, 'e': 0}",20,0,-137.15295763426695,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",25,0,-132.770922448845,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
19,True,"{'a': 0, 'e': 0}",25,0,-258.97339079124026,"{0: 8, 1: 4, 2: 9, 3: 0, 4: 4}",0
20,True,"{'a': 0, 'e': 0}",20,0,-124.7726284011112,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
21,True,"{'a': 0, 'e': 0}",20,0,-85.81480259315026,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
22,True,"{'a': 0, 'e': 0}",25,0,-130.4237352265064,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
23,True,"{'a': 0, 'e': 0}",25,1,-104.85449198424705,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 1}",1
24,True,"{'a': 0, 'e': 0}",20,0,-85.84094860447999,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
25,True,"{'a': 0, 'e': 0}",20,0,-126.48132428735272,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
26,True,"{'a': 0, 'e': 0}",20,0,-157.469314381066,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
27,True,"{'a': 0, 'e': 0}",35,5,-143.00600719193318,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",1
28,True,"{'a': 0, 'e': 0}",20,0,-210.33595677234186,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
29,True,"{'a': 0, 'e': 0}",20,0,-43.263828763096456,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
30,True,"{'a': 0, 'e': 0}",20,0,-110.63981646784893,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
31,True,"{'a': 0, 'e': 0}",20,0,-92.46899978032003,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
32,True,"{'a': 0, 'e': 0}",25,14,-40.300791811279346,"{0: 5, 1: 2, 2: 4, 3: 0, 4: 0}",1
33,True,"{'a': 0, 'e': 0}",25,0,-97.71741716386457,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
34,True,"{'a': 0, 'e': 0}",20,0,-120.27536929205235,"{0: 7, 1: 4, 2: 7, 3: 2, 4: 0}",0
35,True,"{'a': 0, 'e': 0}",25,15,-10.249128354457117,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",25,0,-155.63892199753346,"{0: 11, 1: 1, 2: 10, 3: 3, 4: 0}",0
37,True,"{'a': 0, 'e': 0}",20,0,-27.456418629036285,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
38,True,"{'a': 0, 'e': 0}",20,0,-71.29692328527454,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
39,True,"{'a': 0, 'e': 0}",20,0,-173.15584612681934,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
40,True,"{'a': 0, 'e': 0}",20,7,-159.29947599725472,"{0: 4, 1: 1, 2: 4, 3: 2, 4: 2}",1
41,True,"{'a': 0, 'e': 0}",25,0,-47.10222992206463,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
42,True,"{'a': 0, 'e': 0}",20,0,-98.09112260748289,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
43,True,"{'a': 0, 'e': 0}",20,0,-243.99547155248348,"{0: 7, 1: 2, 2: 6, 3: 1, 4: 4}",0
44,True,"{'a': 0, 'e': 0}",20,4,-104.31122731042613,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1
45,True,"{'a': 0, 'e': 0}",20,0,-166.88647209401478,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
46,True,"{'a': 0, 'e': 0}",20,0,-72.50838849064931,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
47,True,"{'a': 0, 'e': 0}",25,0,-161.1296873047664,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
48,True,"{'a': 0, 'e': 0}",25,0,-37.05912963901969,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
49,True,"{'a': 0, 'e': 0}",25,0,-117.92719296652815,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
50,True,"{'a': 0, 'e': 0}",25,0,-149.33647866717473,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
51,True,"{'a': 0, 'e': 0}",20,0,-133.06397848726152,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
52,True,"{'a': 0, 'e': 0}",20,0,-170.68262913600643,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
53,True,"{'a': 0, 'e': 0}",20,0,-63.85681682322312,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
54,True,"{'a': 0, 'e': 0}",20,0,-31.598528148429036,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
55,True,"{'a': 0, 'e': 0}",35,0,-125.44331483311173,"{0: 21, 1: 10, 2: 2, 3: 0, 4: 2}",0
56,True,"{'a': 0, 'e': 0}",25,0,-135.36350690070597,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
57,True,"{'a': 0, 'e': 0}",20,0,-56.63467890049207,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
58,True,"{'a': 0, 'e': 0}",20,0,0.8150312765012743,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
59,True,"{'a': 0, 'e': 0}",25,0,-203.13496636060864,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
60,True,"{'a': 0, 'e': 0}",30,0,-144.14731238759043,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 2}",0
61,True,"{'a': 0, 'e': 0}",20,0,-105.8737310263646,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
62,True,"{'a': 0, 'e': 0}",20,0,-86.60848109942205,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
63,True,"{'a': 0, 'e': 0}",20,0,-99.50204625871311,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
64,True,"{'a': 0, 'e': 0}",20,9,-44.15160032821721,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
65,True,"{'a': 0, 'e': 0}",20,0,-101.88651049131144,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
66,True,"{'a': 0, 'e': 0}",20,8,-125.52234678509328,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 2}",1
67,True,"{'a': 0, 'e': 0}",25,0,-103.80490093012969,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
68,True,"{'a': 0, 'e': 0}",20,0,-50.32971514433679,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
69,True,"{'a': 0, 'e': 0}",25,0,-57.03020712860473,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
70,True,"{'a': 0, 'e': 0}",30,0,-168.4590930842791,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
71,True,"{'a': 0, 'e': 0}",25,0,-145.4377425100473,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
72,True,"{'a': 0, 'e': 0}",20,0,-111.59711222667667,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
73,True,"{'a': 0, 'e': 0}",20,6,-51.651794920053185,"{0: 7, 1: 4, 2: 2, 3: 1, 4: 0}",1
74,True,"{'a': 0, 'e': 0}",35,4,-246.13299369153822,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 4}",1
75,True,"{'a': 0, 'e': 0}",25,0,-92.44609323202856,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
76,True,"{'a': 0, 'e': 0}",25,0,-220.1414552059596,"{0: 11, 1: 1, 2: 9, 3: 1, 4: 3}",0
77,True,"{'a': 0, 'e': 0}",20,0,-50.63739923659354,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
78,True,"{'a': 0, 'e': 0}",20,0,-118.79821658168638,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
79,True,"{'a': 0, 'e': 0}",25,0,-159.0127001523948,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
80,True,"{'a': 0, 'e': 0}",30,0,-126.75590459320311,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
81,True,"{'a': 0, 'e': 0}",20,0,-72.86392968511697,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
82,True,"{'a': 0, 'e': 0}",30,0,-330.8052426572001,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 7}",0
83,True,"{'a': 0, 'e': 0}",25,0,-92.65002858003163,"{0: 14, 1: 0, 2: 11, 3: 0, 4: 0}",0
84,True,"{'a': 0, 'e': 0}",20,0,-145.6224804688337,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
85,True,"{'a': 0, 'e': 0}",25,0,-56.76205383707181,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
86,True,"{'a': 0, 'e': 0}",20,0,-169.85962263219483,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
87,True,"{'a': 0, 'e': 0}",20,0,-63.01038372442128,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
88,True,"{'a': 0, 'e': 0}",20,0,-55.98850646972191,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
89,True,"{'a': 0, 'e': 0}",20,0,-105.11351620806477,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
90,True,"{'a': 0, 'e': 0}",25,0,-171.29854816908446,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
91,True,"{'a': 0, 'e': 0}",20,8,-67.875877065578,"{0: 4, 1: 1, 2: 7, 3: 0, 4: 0}",1
92,True,"{'a': 0, 'e': 0}",25,0,-171.76877817045272,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
93,True,"{'a': 0, 'e': 0}",20,0,-97.2101823302284,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
94,True,"{'a': 0, 'e': 0}",20,5,-140.94043117830506,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 3}",1
95,True,"{'a': 0, 'e': 0}",25,0,-106.13751028955421,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
